# System: earth-moon
# Family: Northern butterfly
# Mass ratio: 0.0121505856
# Jacobi (LU^2/TU^2) = 2.7454123609150298
# Period (TU) = 11.555291205753774
# Time (TU), X (LU), Y (LU), Z (LU), VX (LU/TU), VY (LU/TU), VZ (LU/TU)
0,0.94099979265358202,1.9004415956504988e-23,0.50947429978967418,2.9689379066449942e-13,-0.12496802037556951,-3.1227170661082715e-12
0.023156896203915377,0.94098623765179334,-0.0028936943679953799,0.50935501412340989,-0.0011710388098086018,-0.12494515401815948,-0.01030237797653449
0.046313792407830755,0.94094552611635152,-0.0057863264103866774,0.50899715900636966,-0.0023460763387393719,-0.12487642050448322,-0.020604600381346753
0.069470688611746129,0.94087751952270471,-0.0086768350903540514,0.50840073959028864,-0.0035291121138052691,-0.12476141898177986,-0.030906508738421223
0.092627584815661509,0.94078198698015236,-0.011564140983573388,0.50756576497436312,-0.0047241264094058455,-0.1245994801726842,-0.04120793917711503
0.11578448101957689,0.94065860510460886,-0.014447143526916565,0.50649224832935713,-0.00593507748105453,-0.12438966593141715,-0.051508722319022537
0.13894137722349226,0.94050695844617938,-0.017324718866003036,0.5051802069200344,-0.0071658992250110947,-0.12413076963532005,-0.061808682492459951
0.16209827342740765,0.94032654173991936,-0.020195713744581803,0.50362966185293334,-0.0084204938862049265,-0.12382131951431659,-0.072107631337811673
0.18525516963132302,0.94011675942544559,-0.023058945252688593,0.50184063849724414,-0.0097027314376827312,-0.12345957767491078,-0.08240536643886133
0.20841206583523839,0.93987692783355514,-0.025913179145223827,0.4998131675635677,-0.011016426784746451,-0.1230435395996182,-0.092701669180598148
0.23156896203915378,0.93960627544906328,-0.028757127952759289,0.497547285165582,-0.012365337760686939,-0.12257093425349282,-0.10299630440888295
0.25472585824306915,0.93930394296965125,-0.031589450808216027,0.49504303282890766,-0.013753164915942612,-0.12203922412238205,-0.11328902037761453
0.27788275444698451,0.93896898740730383,-0.034408743606766976,0.49230045807625011,-0.015183538998145851,-0.1214456085286081,-0.1235795430056123
0.30103965065089988,0.93860038076410457,-0.037213545847624888,0.48931961469218183,-0.01666002780471074,-0.1207870233264119,-0.13386757161213514
0.3241965468548153,0.93819701443114245,-0.040002319541643079,0.4861005642511525,-0.01818611142113442,-0.12006014096612376,-0.14415277841376412
0.34735344305873067,0.93775770219180876,-0.042773438774479755,0.48264337667685941,-0.019765169792168576,-0.11926137193626087,-0.15443480683950006
0.37051033926264604,0.93728118022179718,-0.045525189706598093,0.47894813024224742,-0.021400482721819464,-0.11838686476352735,-0.16471327153076387
0.3936672354665614,0.93676610754797185,-0.048255769765929102,0.47501491164630988,-0.023095228517361819,-0.11743250623712584,-0.17498775807773839
0.41682413167047677,0.93621107396271364,-0.05096327566705576,0.47084381788597579,-0.024852462552826488,-0.11639392558560366,-0.18525781479135664
0.43998102787439219,0.93561459408207293,-0.053645714673284176,0.4664349568087911,-0.026675134234984781,-0.11526649066149539,-0.19552295026552113
0.46313792407830756,0.93497511899218833,-0.056300977769343709,0.46178844889688081,-0.028566044506142457,-0.11404531135625136,-0.20578263338223671
0.48629482028222293,0.93429104043628364,-0.058926831453604521,0.45690442786774327,-0.030527832481528249,-0.11272524140599467,-0.21603629205041663
0.5094517164861383,0.93356069081466742,-0.061520917738077552,0.45178304067425007,-0.032562975449293846,-0.11130087839152125,-0.22628331320588246
0.53260861269005366,0.93278234318473296,-0.064080754148414576,0.44642444750464588,-0.034673788870513915,-0.10976656373829981,-0.2365230428113641
0.55576550889396903,0.93195422226254043,-0.066603722603507387,0.44082882391758321,-0.036862390598500633,-0.1081163848759871,-0.24675478148252095
0.5789224050978844,0.93107450001048686,-0.06908707551228252,0.43499636369112982,-0.039130718096729127,-0.10634417300339943,-0.25697777536138439
0.60207930130179976,0.93014130322060273,-0.071527923266216945,0.42892727900497535,-0.04148049407444325,-0.10444350266998002,-0.2671912214642701
0.62523619750571524,0.92915273179616464,-0.07392321337461108,0.4226218020921243,-0.043913162408230413,-0.10240769520129579,-0.27739426763963226
0.64839309370963061,0.92810685876531807,-0.076269730449896198,0.41608018524059209,-0.046429888095955732,-0.10022981870178095,-0.28758601256596933
0.67154998991354597,0.92700173028107768,-0.078564096207634687,0.40930270079340492,-0.049031557256762059,-0.097902688054736967,-0.29776550575182459
0.69470688611746134,0.92583536670555644,-0.080802768867429847,0.40228964123570127,-0.05171877219848578,-0.095418864717327925,-0.30793174747223206
0.71786378232137671,0.92460579441980328,-0.082982025502256335,0.39504132407733816,-0.054491711783763545,-0.09277065013776549,-0.31808368378118707
0.74102067852529208,0.92331100965666246,-0.085097979886198619,0.3875580941180834,-0.057350302494384046,-0.089950090404771199,-0.32822020342018987
0.76417757472920744,0.92194902397975564,-0.087146554810340185,0.37984032323278305,-0.060293996610631083,-0.086948967334755517,-0.33834014268996521
0.78733447093312281,0.92051788841738569,-0.089123468510478657,0.37188841139595114,-0.063321659776987393,-0.083758794006742521,-0.3484422854959221
0.81049136713703818,0.91901569346253664,-0.091024234667125822,0.36370278668176981,-0.066431571002134648,-0.080370814762370027,-0.35852536334815366
0.83364826334095354,0.91744056907287341,-0.09284416240550758,0.35528390526408921,-0.06962142265895345,-0.076776005205889508,-0.36858805536143713
0.85680515954486891,0.91579068467074232,-0.094578356295563992,0.34663225141642751,-0.072888320484523317,-0.072965072204166093,-0.37862898825523394
0.87996205574878439,0.91406429853030402,-0.096221703391428687,0.33774834334487119,-0.076228493636462905,-0.068928430533094859,-0.3886467035094186
