# System: earth-moon
# Family: L1 Northern halo
# Mass ratio: 0.0121505856
# Jacobi (LU^2/TU^2) = 0.195162730858155
# Period (TU) = 3.1233143922761588
# Time (TU), X (LU), Y (LU), Z (LU), VX (LU/TU), VY (LU/TU), VZ (LU/TU)
0,-0.41456184803140111,2.772689506889051e-23,0.90753120433295065,-1.1555581216266303e-12,1.4076145460136695,3.9979936124406781e-13
0.0062591470787097371,-0.41450679302087723,0.0088102360601987253,0.90751320922138257,0.017591626033101018,1.4075040978354132,-0.0057499998680516605
0.012518294157419474,-0.41434163670303042,0.017619090297109011,0.90745922455755712,0.035180477825253569,1.4071727709868724,-0.011499762371887927
0.018777441236129212,-0.41406640514001164,0.026425179730662659,0.90736925260411128,0.052763778529935336,1.4066206181451737,-0.017249049730928022
0.025036588314838949,-0.41368114173621101,0.035227121734638073,0.90724329715053365,0.070338751936691479,1.4058477270209406,-0.022997624057552565
0.031295735393548685,-0.41318590725452231,0.044023534928254233,0.90708136344439239,0.087902624445498498,1.4048542204516594,-0.028745247633134244
0.037554882472258425,-0.41258077981634328,0.052813039176170667,0.90688345819133531,0.10545262506676413,1.4036402564016797,-0.034491682908037814
0.043814029550968157,-0.41186585490157551,0.061594255588487482,0.90664958955508956,0.12298598542132733,1.4022060279622139,-0.040236692501620076
0.050073176629677897,-0.41104124534862446,0.070365806520745353,0.90637976715746216,0.14049993974045838,1.4005517633513378,-0.045980039202229969
0.056332323708387637,-0.41010708135439949,0.079126315573925535,0.90607400207833955,0.15799172486585891,1.39867772591399,-0.051721485967208429
0.06259147078709737,-0.4090635102815437,0.087874409848731821,0.90573230659433224,0.17545858520989152,1.3965842138519668,-0.057460796505821601
0.068850617865807109,-0.40791069672486185,0.096608718074131322,0.9053546945495623,0.19289776835424027,1.394271560105713,-0.063197734416991377
0.075109764944516849,-0.40664882280805259,0.10532786661426227,0.90494118193367246,0.21030651610835122,1.3917401326918093,-0.068932061959827276
0.081368912023226589,-0.40527808771738855,0.11403048538553379,0.9044917861510422,0.22768207763953813,1.3889903341505465,-0.074663541736138275
0.087628059101936315,-0.40379870769303361,0.12271520796453869,0.90400652600752462,0.24502170971201137,1.3860226015350723,-0.080391936720484974
0.093887206180646054,-0.40221091602904274,0.1313806715880535,0.90348542171044699,0.26232267668687759,1.3828374064113906,-0.086117010260179455
0.10014635325935579,-0.4005149630733621,0.14002551715303843,0.9029284948686096,0.27958225052214003,1.3794352548583628,-0.09183852607528542
0.10640550033806553,-0.39871111622782907,0.14864838921663742,0.90233576849228692,0.29679771077269834,1.3758166874677069,-0.097556248258618083
0.11266464741677527,-0.39679965994817201,0.15724793599617812,0.90170726699322679,0.3139663445903485,1.3719822793439975,-0.10326994127574425
0.118923794495485,-0.3947808957440106,0.16582280936917176,0.90104301618465099,0.33108544672378293,1.3679326401046659,-0.1089793699649822
0.12518294157419474,-0.39265514217885555,0.17437166487331351,0.90034304328125481,0.34815231951859082,1.3636684138800002,-0.11468429953740186
0.13144208865290449,-0.39042273487010881,0.18289316170648198,0.89960737689920733,0.36516427291725728,1.3591902793131456,-0.12038449557682468
0.13770123573161422,-0.38808402648906348,0.19138596272673966,0.89883604705615128,0.38211862445916428,1.3544989495601036,-0.12607972403982359
0.14396038281032394,-0.38563938591006963,0.19984873705879017,0.8980290849661916,0.39901270486921253,1.3495951704120344,-0.13176975176919214
0.1502195298890337,-0.38308919731579721,0.20828016168502347,0.89718652343664274,0.41584386076266228,1.344479717972078,-0.13745434601715778
0.15647867696774342,-0.38043386392100248,0.21667891004169229,0.89630839791744421,0.43260942996400609,1.3391534068959223,-0.14313327190709421
0.16273782404645318,-0.37767380526703948,0.22504366159587685,0.8953947452643839,0.44930676268064978,1.3336170848259858,-0.14880629501213566
0.1689969711251629,-0.37480945701987345,0.23337310250816953,0.89444560366926873,0.46593322294743977,1.3278716319592794,-0.15447318151165415
0.17525611820387263,-0.37184127097008102,0.24166592563267522,0.89346101265992472,0.48248618862666387,1.3219179610474066,-0.16013369819125978
0.18151526528258238,-0.36876971503285005,0.24992083051701106,0.89244101310019663,0.49896305140805097,1.3157570173965643,-0.1657876124428006
0.18777441236129211,-0.3655952732479798,0.25813652340230642,0.89138564718994828,0.51536121680877089,1.3093897788675415,-0.17143469226436253
0.19403355944000186,-0.3623184457798807,0.26631171722320307,0.89029495846506235,0.53167810417343475,1.3028172558757201,-0.17707470626026953
0.20029270651871159,-0.35893974891757457,0.27444513160785511,0.88916899179744058,0.54791114667409468,1.2960404913910746,-0.18270742364108353
0.20655185359742131,-0.35545971507469454,0.28253549287792895,0.88800779339500369,0.56405779131024381,1.2890605609381727,-0.18833261422360431
0.21281100067613107,-0.35187889278948487,0.29058153404860332,0.88681141080169124,0.58011549890881653,1.2818785725961741,-0.19395004843086971
0.21907014775484079,-0.34819784672480136,0.29858199482856917,0.88557989289746164,0.59608174412418835,1.2744956669988314,-0.19955949729215561
0.22532929483355055,-0.34441715766811093,0.3065356216200299,0.88431328989829261,0.61195401543817562,1.2669130173344907,-0.20516073244297561
0.23158844191226027,-0.34053742253149188,0.3144411675187011,0.88301165335618048,0.62772981516003601,1.2591318293460896,-0.21075352612508141
0.23784758899097,-0.3365592542194229,0.3222973925393951,0.88167503613878684,0.64340665990883772,1.2511533410310887,-0.21633765123706761
0.24410673606967975,-0.33248327640095998,0.33010307200175787,0.88030349207448622,0.65898209800244822,1.2429788106005457,-0.22191288269296219
0.25036588314838948,-0.32831013137786352,0.33785698220106453,0.87889707807152384,0.67445367768724385,1.2346095341161432,-0.22747899305304484
