# System: earth-moon
# Family: dro
# Mass ratio: 0.0121505856
# Jacobi (LU^2/TU^2) = 1.5410005957354
# Period (TU) = 6.3052152327579369
# Time (TU), X (LU), Y (LU), Z (LU), VX (LU/TU), VY (LU/TU), VZ (LU/TU)
0,0.024642189591864819,-1.9236188732381019e-26,-5.0330765460965621e-32,1.0679956387085975e-12,7.2237695537238649,-6.0050856777858587e-30
0.012635701869254383,-0.0087561983727724134,0.069735911565509651,-6.1145760947745731e-32,-3.5787960816251618,3.7387372940060861,1.9986366002010317e-30
0.025271403738508766,-0.052340513660892499,0.10617991566077319,-2.8320793857704899e-32,-3.2622734267865718,2.2926175015715811,2.8923159302572114e-30
0.037907105607763149,-0.091189144335779779,0.13114310652037869,8.9312089637967521e-33,-2.9010497440857379,1.7302668736748406,2.9607997430594284e-30
0.050542807477017532,-0.12600623142921061,0.15103253073048276,4.5987838116406841e-32,-2.6219195854380786,1.4458914890066155,2.8959548429471989e-30
0.063178509346271922,-0.15770181161116481,0.1681749233169518,8.2015682649973973e-32,-2.4031342674566565,1.2810671941257032,2.8052965580971366e-30
0.075814211215526298,-0.18690967710244658,0.18366329887498245,1.1687905935031555e-31,-2.2256258932994424,1.1780461901813919,2.7135427863460768e-30
0.088449913084780674,-0.21406823435517222,0.19809535456822555,1.5061383014588437e-31,-2.0771567587299105,1.1109001853396268,2.6271395663999139e-30
0.10108561495403506,-0.23949121870306189,0.2118314730941836,1.8329914230121753e-31,-1.9498709842620563,1.0662799540672629,2.547483584907783e-30
0.11372131682328945,-0.26341117415232285,0.22510427389741228,2.1502021438563639e-31,-1.838541314067567,1.0366090519648286,2.4744368967916165e-30
0.12635701869254384,-0.28600562623534653,0.23807138834107658,2.4585700047071236e-31,-1.7395632212215835,1.0172814311442335,2.407409379692291e-30
0.13899272056179821,-0.30741347332006996,0.25084335525348933,2.7588132003600114e-31,-1.6503644465067444,1.0053334578594146,2.3457239676968323e-30
0.1516284224310526,-0.3277458171698015,0.26350018948124299,3.0515653043982654e-31,-1.5690567139536993,0.99877577394379513,2.2887404503668047e-30
0.16426412430030699,-0.34709297085211238,0.27610067093296131,3.3373840409389016e-31,-1.4942176268203611,0.99622211880012435,2.2358892683898611e-30
0.17689982616956135,-0.36552939697943521,0.28868876100073693,3.6167591357412093e-31,-1.4247588038997774,0.9966865177061085,2.1866791003143001e-30
0.18953552803881574,-0.38311761812401918,0.30129792116193083,3.8901238879646454e-31,-1.359821115500468,0.99943592895370237,2.1406874323641037e-30
0.20217122990807013,-0.39991021767631846,0.31395328985814441,4.1578614446375142e-31,-1.298726846361197,1.0039277358690226,2.097553733756285e-30
0.21480693177732452,-0.41595210974244617,0.32667412776226917,4.4203124266949633e-31,-1.2409306060959588,1.0097492133141113,2.0569706238558743e-30
0.22744263364657891,-0.43128221411531353,0.33947526268391637,4.6777827256522106e-31,-1.1859816490738815,1.0165743877039088,2.0186720485924552e-30
0.24007833551583327,-0.44593403690858496,0.35236761614282835,4.9305460642003527e-31,-1.1335121350083144,1.0241511544888084,1.9824296358885699e-30
0.25271403738508769,-0.45993684249347738,0.36535933283254224,5.1788490293054799e-31,-1.0832165835114391,1.0322800552918177,1.9480464104773286e-30
0.26534973925434202,-0.47331642651832001,0.3784563570644735,5.4229153684582324e-31,-1.0348375072908782,1.040800103789111,1.9153506127429406e-30
0.27798544112359641,-0.4860957240117616,0.39166287158891916,5.6629493542236921e-31,-0.98815424722158984,1.0495780444221134,1.8841907076677259e-30
0.2906211429928508,-0.49829489329359256,0.40498136210959867,5.8991362407848933e-31,-0.94298168561011486,1.0585072213987285,1.8544348105695093e-30
0.30325684486210519,-0.5099319678317038,0.41841314434278526,6.1316457853005134e-31,-0.89916090048258768,1.0674996589609542,1.825966594782204e-30
0.31589254673135958,-0.52102306387364683,0.43195851611795899,6.3606335219565732e-31,-0.85655600565496903,1.0764832927278845,1.7986837766751606e-30
0.32852824860061397,-0.53158283765034464,0.44561701383904928,6.5862437179849342e-31,-0.81504722027164556,1.0853963279253143,1.7724941767443273e-30
0.34116395046986836,-0.54162456548046833,0.45938746585583617,6.8086098508981401e-31,-0.77452968939574085,1.0941862696624294,1.7473151124215951e-30
0.35379965233912269,-0.55116014536947033,0.47326799342346426,7.0278546189186247e-31,-0.73491346502728083,1.1028099098910884,1.7230733870453888e-30
0.36643535420837708,-0.56020042095087896,0.48725622072630331,7.2440920176068424e-31,-0.69611969616571889,1.1112307000422763,1.699703167289541e-30
0.37907105607763147,-0.56875530264091523,0.50134938225720282,7.4574280882005211e-31,-0.65807923144130842,1.1194177323591654,1.6771453728285147e-30
0.39170675794688586,-0.5768338793548955,0.51554434397907378,7.6679618125077193e-31,-0.62073112938115882,1.1273446879251334,1.655346542284689e-30
0.40434245981614025,-0.5844446018212861,0.52983770171721145,7.8757863427503047e-31,-0.58402044867297942,1.1349883188328238,1.6342574814640308e-30
0.41697816168539464,-0.59159528258170291,0.54422578115929576,8.0809890015639598e-31,-0.54789824816508026,1.1423284481841463,1.6138332633560976e-30
0.42961386355464903,-0.59829309599091152,0.55870463785539115,8.2836512819981737e-31,-0.51232158686637153,1.1493479700902767,1.5940332281340361e-30
0.44224956542390342,-0.60454460105644614,0.57327006887430543,8.483849012038513e-31,-0.47725330327855353,1.156032726613921,1.5748208383329657e-30
0.45488526729315781,-0.610356038345651,0.5879177766798267,8.6816544998723408e-31,-0.4426591725846456,1.1623699297060115,1.5561618700411501e-30
